English;Arabic;Transcribed Moroccan Arabic;Moroccan Darija in the Arabic Alphabet
Yes;نعم;Iyyeh;إييه
Yes;نعم;ah;آه
Yes;نعم;wah;واه
No;لا;Lla;لا
Please;من فضلك;3afak;عافاك
Thanks;شكرا;Shokran;شكرا
I love you;انا احبك;Kanbghik;كنبغيك
I miss you;اشتقت اليك;Twe77eshtek;توحشتك
A lot;كثير;Bezzaf;بزاف
A little;قليل;Shwiya;شوية
Okay;حسنا;Wakha;واخا
Now;جمعيه البحث العلمي الهولنديه;Daba;دابا
Not now;ليس الآن;Mashi daba;ماشي دابا
Or;او;Awla;أولا
And;و;W;و
It’s not a problem;انها ليست مشكله;Mashi moshkil;ماشي مشكل
not me;ليس لي;Mashi ana;ماشي أنا
I want;أريد;Bghit;بغيت
I don’t want;انا لا أريد;Ma bghitsh;ما بغيتش
I am done;انهيت;Salit;ساليت
I am not done;لم انتهي;Ma salitsh;ما ساليتش
Beautiful;جميله;Zwin;زوين
ugly;قبيح;Khayb;خايب
Good;جيد ;Mezyan;مزيان
Excuse me;معذرة;Sme7 lia;سمح ليا
Excuse me;معذرة;Sem7i lia;سمحلي ليا
I don’t speak Arabic;انا لا أتكلم العربية;Ma kanhdersh l3erbia;ما كنهضرش العربية
I don’t understand;انا لم افهم;Ma fhemtsh;ما فهمتش
Do you understand me?;هل تفهمني؟;Fhemtini?;فهمتيني؟
I don’t have any money;ليس لدي اي مال;Ma 3endish leflouss;ما عنديش الفلوس
Welcome;اهلا وسهلا;Mer7ba;مرحبا
Take;خذ ;Hak;هاك
Take;خذ ;Haki;هاكي
Give me;أعطني;3tini;عطيني
I know;أعرف;3reft;عرفت
I don’t know;لا أعرف;Ma 3reftsh;ما عرفتش
I forgot;أنا نسيت;Nsit;نسيت
I have to go;عليّ أن أذهب;Khasni nemshi;خاصني نمشي
It’s your turn;انه دورك;Noubtek;نوبتك
It’s my turn;انه دوري;Noubti;نوبتي
I am tired;إنني مُجهَد;3yit;عييت
