title,type,link,date,comments,comments_2
مستجدات محاكمة شمهروش,videos,https://m.hespress.com/videos/448820.html,[],"
في نظري الاعدام في حق مرتكبي هذه الجريمة الشنعاء اما محامي المتهمين همهم الوحيد المال . الجريمة ثابتة وعن قصد لا غبار عليها . نحن نريد بلد امن . الإعدام هو الحل في هذه القظية وما شابهها.
", نظري الاعدام حق مرتكبي الجريمة الشنعاء محامي المتهمين همهم الوحيد المال الجريمة ثابتة وعن قصد غبار نريد بلد امن الإعدام الحل القظية شابهها 
العراقيون ينتظرون بداية التغيير بسقوط الحكومة,international,https://m.hespress.com/international/448792.html,[],"
ان لم تتحرك الحكومة المغربية لاايجاد حلول للخراب الذي تعيشه المستشفيات وانعدام الخدمات وسوء تدبير المال العام من قبل البلديات وروساء الجماعات فستقوم ثورة ضد كل شيئ في المغرب. ففرنسا بمساعدة ومباركة اصحاب النفوذ وتخاذل اصحاب اللحى الذين لا حول لهم ولاقوة امام قوة التماسيح والدولة العميقة في المغرب فلن يجد الشباب العاطل امام كل هذا زد علي ذلك انتسشار الجريمة والتشرميل و هزالة الاجور والبطالة المتفشية فلن يكون هناك حل سوى الحل العراقي واللبناني.
", تتحرك الحكومة المغربية لاايجاد حلول للخراب تعيشه المستشفيات وانعدام الخدمات وسوء تدبير المال العام البلديات وروساء الجماعات فستقوم ثورة شيئ المغرب ففرنسا بمساعدة ومباركة اصحاب النفوذ وتخاذل اصحاب اللحى ولاقوة التماسيح والدولة العميقة المغرب فلن يجد الشباب العاطل زد انتسشار الجريمة والتشرميل هزالة الاجور والبطالة المتفشية فلن حل الحل العراقي واللبناني 
نموذج المدن المستدامة,videos,https://m.hespress.com/videos/448782.html,[],"
السيد الشامي تكلم المدن المستدامة وكأنه يقصد جميع المدن المغربية والسيدة السفيرة الفرنسية تكلمت مدن جديدة حديثة تحديدا بنكرير زناتة معنى هذا أنه سيكون للفاعل الإقتصادي دور إنتقائي في الخدمات و البنيات التحتية التي ستجعل هاتين المدينتين مستدامتين وإعمال مخططات للمعطيات لهذا الغرض. أما بالنسبة للمدن الجديدة تامنصورت تامسنا تغازوت فقد أخل الفاعل السياسي بجعلها مدنا مستدامة فحق عليها المثل "" ...من ذاك الخيمة خرج مايل"" فالأزبال في كل مكان في تامسنا ""المدينة الملكية"" حيث عمدت أمازون على التقايص من عمال النظافة يمرون مرة واحدة عامل/ كلم فاكثر في الأسبوع وتبقى الأزبال عالقة قي المساحات الخضراء وتعرض للإهمال وكل القاذورات. أما النقل العمومي فلقد تم حدف خطين بين تامسنا و اليوسوفية ولم يبرمج أي خط مارا بطريق زعير كما هو الشأن بالنسبة لعين عودة...خلاصة القول يجب تعميم المدن المستدامة على كل المدن الجديدة لسهولة إستدراك العجز المجالي وتعميمها على باقي مدن المغرب بطرق مبتكرة وفعالة.
", السيد الشامي تكلم المدن المستدامة وكأنه يقصد المدن المغربية والسيدة السفيرة الفرنسية تكلمت مدن جديدة حديثة تحديدا بنكرير زناتة معنى سيكون للفاعل الإقتصادي دور إنتقائي الخدمات البنيات التحتية ستجعل المدينتين مستدامتين وإعمال مخططات للمعطيات الغرض بالنسبة للمدن الجديدة تامنصورت تامسنا تغازوت أخل الفاعل السياسي بجعلها مدنا مستدامة فحق المثل الخيمة خرج مايل فالأزبال مكان تامسنا المدينة الملكية عمدت أمازون التقايص عمال النظافة يمرون مرة واحدة عامل فاكثر الأسبوع وتبقى الأزبال عالقة قي المساحات الخضراء وتعرض للإهمال وكل القاذورات النقل العمومي فلقد حدف خطين تامسنا اليوسوفية يبرمج خط مارا بطريق زعير الشأن بالنسبة لعين عودة خلاصة القول يجب تعميم المدن المستدامة المدن الجديدة لسهولة إستدراك العجز المجالي وتعميمها باقي مدن المغرب بطرق مبتكرة وفعالة 
نموذج المدن المستدامة,videos,https://m.hespress.com/videos/448782.html,[],"
ah oui vous croyez vraiment que ces télé technologies sont exempt d'empreintes écologiques j'ai entendu que seulement les serveurs de Yahoo comme exemple consomment autant d'énergie que des pays sachant que la plupart du temps ils les installent dans des zones très froides peut être en demandant aux gens de libérer de l'espace sur tout ce qui est mail cloud etc..tout ce qui vous ", ah oui vou croyez vraiment que ce télé technolog sont exempt d empreint écologiqu j ai entendu que seulement le serveur de yahoo comm exempl consom autant d énergi que de pay sachant que la plupart du temp il le instal dan de zone trè froid peut être en demand aux gen de libérer de l espac sur tout ce qui est mail cloud etc tout ce qui vou 
نموذج المدن المستدامة,videos,https://m.hespress.com/videos/448782.html,[],"
paraît non indispensable mieux l' ""effacer"" pour alléger cette empreinte sachant que la question de l'énergie c'est un faux débat mais c'est mieux de savoir maîtriser les consommations de toute sorte que ça soit ", paraît non indispens mieux l effac pour alléger cett empreint sachant que la question de l énergi c est un faux débat mai c est mieux de savoir maîtris le consomm de tout sort que ça soit 
نموذج المدن المستدامة,videos,https://m.hespress.com/videos/448782.html,[],"
vous devinez ce que j'insinue d'ailleurs ça se rejoignent si on prend en considération la mécanique quantique
", vou devinez ce que j insinu d ailleur ça se rejoign si on prend en considér la mécaniqu quantiqu 
ذكرى تأسيس الاتحاد الاشتراكي,videos,https://m.hespress.com/videos/448746.html,[],"
بمناسبة حلول الذكرى الستون لتأسيس حزب الإتحاد الإشتراكي للقوات الشعبية يسعدني أن أتقدم بأحر التهاني والتبريكات إلى جميع المناظﻻت والمناظلين الدين إلتئموا جميعا في هده اللحظة التاريخية ليسترجع الحزب روحه من جديد وليسير في الطريق الصحيح للنظال من أجل الدفاع وبقوة على الطبقة الشعبية الفقيرة المهمشة ولصون حقوقها كاملة .وفي الختام أترحم على كل المناظلين الدين غادرونا الى دار البقاء كما أتمنى الشفاء العاجل لمن هم مرضى وكل التوفيق لمن هم يتحملون مسؤولياتهم على كل المستويات .الله ولي التوفيق .
", بمناسبة حلول الذكرى الستون لتأسيس حزب الإتحاد الإشتراكي للقوات الشعبية يسعدني أتقدم بأحر التهاني والتبريكات المناظﻻت والمناظلين الدين إلتئموا جميعا هده اللحظة التاريخية ليسترجع الحزب روحه جديد وليسير الطريق الصحيح للنظال الدفاع وبقوة الطبقة الشعبية الفقيرة المهمشة ولصون حقوقها كاملة الختام أترحم المناظلين الدين غادرونا دار البقاء أتمنى الشفاء العاجل لمن مرضى وكل التوفيق لمن يتحملون مسؤولياتهم المستويات الله ولي التوفيق 
ذكرى تأسيس الاتحاد الاشتراكي,videos,https://m.hespress.com/videos/448746.html,[],"
ما الجدوى بدكرى التاسيس. بدون تقديم ما قدم من انجازات واقعية على الارض والمحاسبة على كل صغير وكبيرة في هذه السنين .
", الجدوى بدكرى التاسيس بدون تقديم قدم انجازات واقعية الارض والمحاسبة صغير وكبيرة السنين 
حملة تستهدف سيارات الأجرة بالبيضاء .. وعقوبات تنتظر السائقين,regions,https://m.hespress.com/regions/448786.html,[],"
اجراءات صائبة نشجع و نشد على ايدي السلطات لكن لابد من التشبث بتفعيل القانون ضد جميع اللوبيات التي تتحدى التنظيم و النظام و تحبد العشوائية
", اجراءات صائبة نشجع نشد ايدي السلطات لابد التشبث بتفعيل القانون اللوبيات تتحدى التنظيم النظام تحبد العشوائية 
حملة تستهدف سيارات الأجرة بالبيضاء .. وعقوبات تنتظر السائقين,regions,https://m.hespress.com/regions/448786.html,[],"
والله ايلا اصحاب التاكسيلت زادوا فيه وعيقوا بزاااااف... ماشي غير فالدار البيضا، راه فأغلب المدن المغربية... أضعف الإيمان ايلا ما حضيتيش راسك يدير كونتور ديال الليل فعوض النهار ويسرقك.. هذا بالإضافة، ملي كيعرفك براني على المدينة كيطول عليك الطريق باش تخلص بزاف، هاد الشي بلا مانهدرو على قلة النظافة ديال التاكسي وديال الشيفور وتخسار الهدرة في بعض الأحيان.. وملي جات شركة يوبير و كريم حاربوهم وكانوا يتعداو عليهم..
", والله ايلا اصحاب التاكسيلت زادوا وعيقوا بزاااااف ماشي فالدار البيضا راه فأغلب المدن المغربية أضعف الإيمان ايلا حضيتيش راسك يدير كونتور ديال الليل فعوض النهار ويسرقك بالإضافة ملي كيعرفك براني المدينة كيطول الطريق باش تخلص بزاف هاد الشي بلا مانهدرو قلة النظافة ديال التاكسي وديال الشيفور وتخسار الهدرة الأحيان وملي جات شركة يوبير كريم حاربوهم وكانوا يتعداو عليهم 
